amount,payee_is_new,hour_of_day,receiver_account_age_days,receiver_prior_fraud_reports,is_fraud
500,0,14,900,0,0
1200,0,11,700,0,0
250,1,10,600,0,0
3000,0,15,1200,0,0
150,0,9,500,0,0
8000,1,13,800,0,0
50,0,20,400,0,0
2200,0,16,300,0,0
600,1,12,650,0,0
9000,0,18,1000,0,0
400,1,14,900,0,0
1500,0,10,450,0,0
75,0,19,700,0,0
3200,1,11,550,0,0
220,0,13,850,0,0
25000,1,23,5,2,1
40000,1,1,2,3,1
18000,1,22,8,1,1
30000,0,2,3,2,1
15500,1,23,10,1,1
22000,1,0,1,4,1
9500,1,21,6,2,1
27000,1,1,4,1,1
35000,1,23,3,3,1
50000,0,2,7,2,1
12000,1,22,12,1,1
28000,1,0,5,3,1
19000,1,21,9,1,1
45000,1,2,2,4,1
21000,0,23,15,2,1
5000,1,23,20,1,1
16000,1,1,4,2,1
33000,1,22,6,3,1
7000,0,3,10,1,1
26000,1,0,8,2,1
