message,is_scam
"Your KYC has expired. Update immediately within 24 hours or your account will be suspended. Click here to update.",1
"Dear customer your PAN card is not linked and account will be blocked. Update KYC now via this link.",1
"This is CBI Cyber Crime Division. A parcel with illegal items was found in your name. Digital arrest warrant issued. Pay fine immediately to avoid arrest.",1
"Your parcel is on hold at customs. Pay Rs 350 clearance fee within 2 hours or it will be returned.",1
"Congratulations you have been selected for guaranteed returns of 40% monthly in our trading group. Join now and double your investment.",1
"Get instant loan up to 5 lakhs without any documents. Disbursed within 10 minutes. Apply now.",1
"Work from home and earn Rs 3000 daily. Part time job, no experience needed, payout daily.",1
"Court has issued a warrant against you for tax evasion. Contact this number immediately or face legal action within 3 hours.",1
"Your Aadhaar linked bank account will be blocked today. Verify immediately by sharing OTP sent to your phone.",1
"ED notice: Your bank account is under investigation for money laundering. Failure to comply will result in immediate arrest.",1
"Dear user, your electricity bill is unpaid, service will be disconnected tonight. Pay urgent via this link to avoid disconnection.",1
"Your courier could not be delivered, customs duty of Rs 450 is pending, click link to pay and reschedule delivery.",1
"You have won a lottery of 25 lakh rupees. Send processing fee to claim your prize immediately.",1
"Income tax refund of Rs 15,340 is pending. Click here and enter your bank details to receive refund.",1
"This is Mumbai Police Cyber Cell. Your number is linked to an illegal SIM card racket. You must cooperate immediately or face digital arrest.",1
"Investment opportunity: turn Rs 5000 into Rs 50000 in one week guaranteed, join our VIP trading signal group now.",1
"Your credit card has been temporarily blocked due to suspicious activity, share the OTP to unblock it immediately.",1
"URGENT: Your electricity connection will be disconnected within 3 hours, pay outstanding bill immediately at this link.",1
"We are calling from Customs Department. A package under your name contains banned substances, pay penalty immediately to avoid legal action.",1
"Job offer: earn Rs 5000 per day by liking YouTube videos, no investment needed, message us to start immediately.",1
"Hey are we still meeting for lunch tomorrow at 1pm?",0
"Please find attached the minutes from today's project review meeting.",0
"Happy birthday! Hope you have a wonderful day, let's catch up this weekend.",0
"Reminder: your dentist appointment is scheduled for Thursday at 10am.",0
"Can you send me the updated slides for tomorrow's presentation?",0
"The weather looks great this weekend, want to go for a trek?",0
"Your Swiggy order has been delivered. Enjoy your meal!",0
"Team, the sprint planning meeting has been moved to 3pm today.",0
"Mom, I'll be home by 8pm, don't wait for dinner.",0
"Congratulations on your promotion! Well deserved.",0
"Here is the invoice for last month's consulting work, let me know if you have questions.",0
"Can you review my thesis draft when you get a chance? No rush.",0
"The train is running 15 minutes late according to the app.",0
"Thanks for the recommendation, I really enjoyed that book.",0
"Let's plan the college reunion for next month, I'll create a group.",0
"Your flight PNR has been confirmed, check-in opens 48 hours before departure.",0
"I've shared the Google Drive folder with the research papers you asked for.",0
"Don't forget to bring your laptop charger tomorrow for the workshop.",0
"The electricity board scheduled maintenance in our area tomorrow from 10am to 2pm.",0
"Great catching up today, let's do this again soon.",0
